"gene.y"	"Sample"	"chr"	"start"	"end"	"n"	"clusterID"	"N"	"coord"	"gene.x"	"annotation"	"FDR"	"ensemblID"	"verdict"	"deltapsi"	"transcripts"	"bam_slice"	"event"	"SS_Coords"	"ENSG.ID"	"median.cpm"	"sd"	"sum"
"30"	"BCL2L1"	"Nalm_K700E"	"chr20"	31722348	31722618	4	"clu_8841_-"	4	"chr20:31722330-31723864"	"<i>BCL2L1</i>"	"annotated"	0.0128	"ENSG00000180777.15"	"annotated"	0.126	"ENST00000307677.5+ENST00000376055.9"	"chr20:31721348-31723618"	"chr20:31722348-31722618"	"chr20:31722118-31723118"	"ENSG00000171552.14"	42.03246271	1.416185961	43
"31"	"BOLA3"	"K562_K700E"	"chr2"	74135658	74142272	2	"clu_3171_-"	3	"chr2:74135658-74145189"	"<i>BOLA3</i>"	"annotated"	0.007	"ENSG00000175265.18"	"annotated"	0.053	"ENST00000327428.10+ENST00000477685.5"	"chr2:74134658-74143272"	"chr2:74135658-74142272"	"chr2:74141772-74142772"	"ENSG00000163170.12"	60.19920089	0.086136444	20
"32"	"BOLA3"	"MDS_K700E"	"chr2"	74135658	74142272	2	"clu_6678_-"	3	"chr2:74135658-74145189"	"<i>BOLA3</i>"	"annotated"	0.0451	"."	"annotated"	0.057	"ENST00000327428.9+ENST00000477685.5"	"chr2:74134658-74143272"	"chr2:74135658-74142272"	"chr2:74141772-74142772"	"ENSG00000163170.12"	8.621968135	4.139077646	20
"33"	"BRCA1"	"MDS_K700E"	"chr17"	43095943	43097244	2	"clu_9686_-"	2	"chr17:43095922-43097244"	"<i>BRCA1</i>"	"cryptic"	0.0268	"ENSG00000185760.15"	"cryptic_threeprime"	0.123	"."	"chr17:43094943-43098244"	"chr17:43095943-43097244"	"chr17:43096744-43097744"	"ENSG00000012048.23"	118.3312251	27.84165259	0
"34"	"BRCA1"	"Nalm_K700E"	"chr17"	43095943	43097244	2	"clu_5835_-"	2	"chr17:43095922-43097244"	"<i>BRCA1</i>"	"cryptic"	0.00451	"ENSG00000055917.16"	"cryptic_threeprime"	0.121	"."	"chr17:43094943-43098244"	"chr17:43095943-43097244"	"chr17:43096744-43097744"	"ENSG00000012048.23"	208.7514489	2.063258256	0
"35"	"BRD9"	"BRCA_K700E"	"chr5"	865581	869245	4	"clu_14342_-"	3	"chr5:865581-870473"	"<i>BRD9</i>"	"annotated"	0.00526	"ENSG00000028310.18"	"annotated"	0.12	"ENST00000489816.5+ENST00000490814.6+ENST00000518250.5+ENST00000519112.5"	"chr5:864581-870245"	"chr5:865581-869245"	"chr5:868745-869745"	"ENSG00000028310.18"	30.25547742	3.834589415	0
"36"	"BRD9"	"BRCA_K700E"	"chr5"	869404	870473	4	"clu_14342_-"	3	"chr5:865581-870473"	"<i>BRD9</i>"	"annotated"	0.00526	"ENSG00000028310.18"	"annotated"	0.136	"ENST00000490814.6+ENST00000518250.5+ENST00000519112.5"	"chr5:868404-871473"	"chr5:869404-870473"	"chr5:869973-870973"	"ENSG00000028310.18"	30.25547742	3.834589415	0
"37"	"BRD9"	"K562_K700E"	"chr5"	865581	869245	4	"clu_4375_-"	3	"chr5:865581-870473"	"<i>BRD9</i>"	"annotated"	4.64e-05	"ENSG00000028310.18"	"annotated"	0.132	"ENST00000489816.5+ENST00000490814.6+ENST00000518250.5+ENST00000519112.5"	"chr5:864581-870245"	"chr5:865581-869245"	"chr5:868745-869745"	"ENSG00000028310.18"	75.57413236	0.589312881	0
"38"	"BRD9"	"K562_K700E"	"chr5"	869404	870473	4	"clu_4375_-"	3	"chr5:865581-870473"	"<i>BRD9</i>"	"annotated"	4.64e-05	"ENSG00000028310.18"	"annotated"	0.435	"ENST00000490814.6+ENST00000518250.5+ENST00000519112.5"	"chr5:868404-871473"	"chr5:869404-870473"	"chr5:869973-870973"	"ENSG00000028310.18"	75.57413236	0.589312881	0
"39"	"BRD9"	"MDS_K700E"	"chr5"	865581	869245	4	"clu_19772_-"	7	"chr5:865581-870473"	"<i>BRD9</i>"	"cryptic"	1.14e-09	"ENSG00000142864.14"	"annotated"	0.302	"ENST00000489816.5+ENST00000490814.6+ENST00000518250.5+ENST00000519112.5"	"chr5:864581-870245"	"chr5:865581-869245"	"chr5:868745-869745"	"ENSG00000028310.18"	57.64437157	11.864896	0
"40"	"BRD9"	"MDS_K700E"	"chr5"	869404	870473	4	"clu_19772_-"	7	"chr5:865581-870473"	"<i>BRD9</i>"	"cryptic"	1.14e-09	"ENSG00000171552.12"	"annotated"	0.247	"ENST00000490814.6+ENST00000518250.5+ENST00000519112.5"	"chr5:868404-871473"	"chr5:869404-870473"	"chr5:869973-870973"	"ENSG00000028310.18"	57.64437157	11.864896	0
"41"	"BRD9"	"Nalm_K700E"	"chr5"	865581	869245	4	"clu_11078_-"	6	"chr5:865581-870473"	"<i>BRD9</i>"	"annotated"	3.37e-09	"ENSG00000028310.18"	"annotated"	0.214	"ENST00000489816.5+ENST00000490814.6+ENST00000518250.5+ENST00000519112.5"	"chr5:864581-870245"	"chr5:865581-869245"	"chr5:868745-869745"	"ENSG00000028310.18"	79.60903586	1.210364114	0
"42"	"BRD9"	"Nalm_K700E"	"chr5"	869404	870473	4	"clu_11078_-"	6	"chr5:865581-870473"	"<i>BRD9</i>"	"annotated"	3.37e-09	"ENSG00000028310.18"	"annotated"	0.276	"ENST00000490814.6+ENST00000518250.5+ENST00000519112.5"	"chr5:868404-871473"	"chr5:869404-870473"	"chr5:869973-870973"	"ENSG00000028310.18"	79.60903586	1.210364114	0
"43"	"BUB1B"	"K562_K700E"	"chr15"	40200980	40202390	3	"clu_1788_+"	2	"chr15:40200980-40202405"	"<i>BUB1B</i>"	"cryptic"	0.00315	"ENSG00000138095.20"	"cryptic_threeprime"	0.251	"."	"chr15:40199980-40203390"	"chr15:40200980-40202390"	"chr15:40201890-40202890"	"ENSG00000156970.13"	108.7030466	1.14998645	0
"44"	"BUB1B"	"MDS_K700E"	"chr15"	40200980	40202390	3	"clu_14664_+"	2	"chr15:40200980-40202405"	"<i>BUB1B</i>"	"cryptic"	0.0189	"ENSG00000163161.12"	"cryptic_threeprime"	0.203	"."	"chr15:40199980-40203390"	"chr15:40200980-40202390"	"chr15:40201890-40202890"	"ENSG00000156970.13"	70.42727419	19.13911063	0
"45"	"BUB1B"	"Nalm_K700E"	"chr15"	40200980	40202390	3	"clu_4319_+"	3	"chr15:40200980-40202450"	"<i>BUB1B</i>"	"cryptic"	0.00377	"ENSG00000138795.10"	"cryptic_threeprime"	0.137	"."	"chr15:40199980-40203390"	"chr15:40200980-40202390"	"chr15:40201890-40202890"	"ENSG00000156970.13"	173.8492377	2.684290991	0
"46"	"C12orf75"	"MDS_K700E"	"chr12"	105348626	105366617	2	"clu_1593_+"	3	"chr12:105348626-105366617"	"<i>C12orf75</i>"	"annotated"	0.00571	"ENSG00000211896.7"	"annotated"	0.067	"ENST00000443585.5+ENST00000548458.6+ENST00000549934.2+ENST00000612117.4"	"chr12:105347626-105367617"	"chr12:105348626-105366617"	"chr12:105366117-105367117"	"ENSG00000235162.9"	39.9112849	12.48185021	0
"47"	"C12orf75"	"Nalm_K700E"	"chr12"	105348626	105366617	2	"clu_3452_+"	3	"chr12:105348626-105366617"	"<i>C12orf75</i>"	"annotated"	0.000805	"ENSG00000235162.9"	"annotated"	0.071	"ENST00000443585.6+ENST00000548458.6+ENST00000549934.2+ENST00000612117.4"	"chr12:105347626-105367617"	"chr12:105348626-105366617"	"chr12:105366117-105367117"	"ENSG00000235162.9"	55.65846706	2.97420314	0
"48"	"C1D"	"K562_K700E"	"chr2"	68047336	68062958	2	"clu_3155_-"	6	"chr2:68047319-68062958"	"<i>C1D</i>"	"cryptic"	0.000395	"ENSG00000165629.20"	"cryptic_threeprime"	0.057	"."	"chr2:68046336-68063958"	"chr2:68047336-68062958"	"chr2:68062458-68063458"	"ENSG00000197223.12"	85.52812612	1.952461239	0
"49"	"C1D"	"Nalm_K700E"	"chr2"	68047336	68062958	2	"clu_8306_-"	7	"chr2:68047315-68062958"	"<i>C1D</i>"	"cryptic"	3.83e-06	"ENSG00000197223.12"	"cryptic_threeprime"	0.052	"."	"chr2:68046336-68063958"	"chr2:68047336-68062958"	"chr2:68062458-68063458"	"ENSG00000197223.12"	35.24186815	3.144394839	0
"50"	"CARS2"	"K562_K700E"	"chr13"	110642521	110644385	2	"clu_1628_-"	3	"chr13:110642521-110644385"	"<i>CARS2</i>"	"annotated"	0.00989	"ENSG00000013306.16"	"annotated"	0.32	"ENST00000257347.9+ENST00000480437.5+ENST00000481787.6+ENST00000487253.6+ENST00000535516.5+ENST00000535615.5+ENST00000537802.5+ENST00000540006.5+ENST00000542774.5"	"chr13:110641521-110645385"	"chr13:110642521-110644385"	"chr13:110643885-110644885"	"ENSG00000134905.17"	50.80393515	0.876199089	2
"51"	"CARS2"	"MDS_K700E"	"chr13"	110642521	110644385	2	"clu_10716_-"	3	"chr13:110642521-110644385"	"<i>CARS2</i>"	"annotated"	0.00314	"ENSG00000170891.10"	"annotated"	0.193	"ENST00000257347.8+ENST00000480437.5+ENST00000481787.6+ENST00000487253.6+ENST00000535516.5+ENST00000535615.5+ENST00000537802.5+ENST00000540006.5+ENST00000542774.5"	"chr13:110641521-110645385"	"chr13:110642521-110644385"	"chr13:110643885-110644885"	"ENSG00000134905.17"	134.0902684	12.5488503	2
"52"	"CASD1"	"MDS_K700E"	"chr7"	94528250	94533189	2	"clu_5939_+"	2	"chr7:94528250-94533205"	"<i>CASD1</i>"	"cryptic"	0.00102	"ENSG00000254681.6"	"cryptic_threeprime"	0.509	"."	"chr7:94527250-94534189"	"chr7:94528250-94533189"	"chr7:94532689-94533689"	"ENSG00000127995.17"	6.554040971	2.518112104	0
"53"	"CASD1"	"Nalm_K700E"	"chr7"	94528250	94533189	2	"clu_12486_+"	2	"chr7:94528250-94533205"	"<i>CASD1</i>"	"cryptic"	0.0191	"ENSG00000082898.19"	"cryptic_threeprime"	0.313	"."	"chr7:94527250-94534189"	"chr7:94528250-94533189"	"chr7:94532689-94533689"	"ENSG00000127995.17"	4.05806548	0.095520834	0
"54"	"CCDC66"	"MDS_K700E"	"chr3"	56615272	56615904	2	"clu_23608_+"	2	"chr3:56615272-56615922"	"<i>CCDC66</i>"	"cryptic"	0.00912	"ENSG00000196502.11"	"cryptic_threeprime"	0.459	"."	"chr3:56614272-56616904"	"chr3:56615272-56615904"	"chr3:56615404-56616404"	"ENSG00000180376.17"	42.70130958	9.714326921	0
"55"	"CCDC66"	"Nalm_K700E"	"chr3"	56615272	56615904	2	"clu_9713_+"	2	"chr3:56615272-56615922"	"<i>CCDC66</i>"	"cryptic"	0.00294	"ENSG00000150991.16"	"cryptic_threeprime"	0.558	"."	"chr3:56614272-56616904"	"chr3:56615272-56615904"	"chr3:56615404-56616404"	"ENSG00000180376.17"	29.3520782	0.884715342	0
"56"	"CCDC88A"	"MDS_K700E"	"chr2"	55298034	55299839	2	"clu_6574_-"	5	"chr2:55296523-55301206"	"<i>CCDC88A</i>"	"cryptic"	0.000484	"ENSG00000185596.16"	"cryptic_threeprime"	0.068	"."	"chr2:55297034-55300839"	"chr2:55298034-55299839"	"chr2:55299339-55300339"	"ENSG00000115355.18"	35.21434387	15.92130906	0
"57"	"CCDC88A"	"Nalm_K700E"	"chr2"	55298034	55299839	2	"clu_8274_-"	5	"chr2:55296523-55301206"	"<i>CCDC88A</i>"	"cryptic"	6.15e-07	"ENSG00000115355.18"	"cryptic_threeprime"	0.079	"."	"chr2:55297034-55300839"	"chr2:55298034-55299839"	"chr2:55299339-55300339"	"ENSG00000115355.18"	16.5069113	0.701997054	0
"58"	"CDC27"	"K562_K700E"	"chr17"	47122619	47123886	2	"clu_2387_-"	3	"chr17:47122536-47123886"	"<i>CDC27</i>"	"annotated"	0.00471	"ENSG00000163257.11"	"annotated"	0.137	"ENST00000570740.1"	"chr17:47121619-47124886"	"chr17:47122619-47123886"	"chr17:47123386-47124386"	"ENSG00000004897.12"	170.6945597	1.145006325	0
"59"	"CDC27"	"K562_K700E"	"chr17"	47151936	47154672	2	"clu_2389_-"	2	"chr17:47151918-47154672"	"<i>CDC27</i>"	"annotated"	0.00926	"ENSG00000266976.3"	"annotated"	0.173	"ENST00000525495.6+ENST00000531206.5+ENST00000574304.5"	"chr17:47150936-47155672"	"chr17:47151936-47154672"	"chr17:47154172-47155172"	"ENSG00000004897.12"	170.6945597	1.145006325	0
"60"	"CDC27"	"Nalm_K700E"	"chr17"	47151936	47154672	2	"clu_5882_-"	2	"chr17:47151918-47154672"	"<i>CDC27</i>"	"annotated"	0.015	"ENSG00000103540.16"	"annotated"	0.13	"ENST00000525495.6+ENST00000531206.5+ENST00000574304.5"	"chr17:47150936-47155672"	"chr17:47151936-47154672"	"chr17:47154172-47155172"	"ENSG00000004897.12"	105.3574926	3.672433366	0
"61"	"CDC27"	"Nalm_K700E"	"chr17"	47122619	47123886	2	"clu_5879_-"	3	"chr17:47122536-47123886"	"<i>CDC27</i>"	"annotated"	0.0489	"."	"annotated"	0.08	"ENST00000570740.1"	"chr17:47121619-47124886"	"chr17:47122619-47123886"	"chr17:47123386-47124386"	"ENSG00000004897.12"	105.3574926	3.672433366	0
"62"	"CDCA3"	"K562_K700E"	"chr12"	6849198	6849323	2	"clu_1296_-"	3	"chr12:6849198-6849565"	"<i>CDCA3</i>"	"annotated"	0.00288	"ENSG00000273841.6"	"annotated"	0.113	"ENST00000229265.10+ENST00000535406.5+ENST00000535871.1+ENST00000536241.1+ENST00000538862.7"	"chr12:6848198-6850323"	"chr12:6849198-6849323"	"chr12:6848823-6849823"	"ENSG00000111665.12"	32.36731672	0.366897154	3
"63"	"CDCA3"	"Nalm_K700E"	"chr12"	6849198	6849323	2	"clu_2792_-"	3	"chr12:6849198-6849565"	"<i>CDCA3</i>"	"annotated"	0.00178	"ENSG00000111665.12"	"annotated"	0.068	"ENST00000229265.10+ENST00000535406.5+ENST00000535871.1+ENST00000536241.1+ENST00000538862.7"	"chr12:6848198-6850323"	"chr12:6849198-6849323"	"chr12:6848823-6849823"	"ENSG00000111665.12"	61.39718536	1.467289982	3
"64"	"CEP104"	"K562_K700E"	"chr1"	3842067	3844907	3	"clu_53_-"	2	"chr1:3839776-3844907"	"<i>CEP104</i>"	"cryptic"	0.00662	"ENSG00000105968.19"	"cryptic_threeprime"	0.335	"."	"chr1:3841067-3845907"	"chr1:3842067-3844907"	"chr1:3844407-3845407"	"ENSG00000116198.14"	63.07214302	0.901676281	0
"65"	"CEP104"	"MDS_K700E"	"chr1"	3842067	3844907	3	"clu_13168_-"	2	"chr1:3839776-3844907"	"<i>CEP104</i>"	"cryptic"	0.0474	"."	"cryptic_threeprime"	0.146	"."	"chr1:3841067-3845907"	"chr1:3842067-3844907"	"chr1:3844407-3845407"	"ENSG00000116198.14"	53.84448375	6.640529886	0
"66"	"CEP104"	"Nalm_K700E"	"chr1"	3842067	3844907	3	"clu_755_-"	2	"chr1:3839776-3844907"	"<i>CEP104</i>"	"cryptic"	0.00924	"ENSG00000078061.14"	"cryptic_threeprime"	0.24	"."	"chr1:3841067-3845907"	"chr1:3842067-3844907"	"chr1:3844407-3845407"	"ENSG00000116198.14"	87.2134245	2.185589221	0
"67"	"CHORDC1"	"BRCA_K700E"	"chr11"	90206272	90210536	2	"clu_3191_-"	3	"chr11:90206272-90210536"	"<i>CHORDC1</i>"	"annotated"	0.0466	"ENSG00000110172.12"	"annotated"	0.147	"ENST00000320585.11+ENST00000457199.6+ENST00000525317.5+ENST00000529987.5+ENST00000533724.5"	"chr11:90205272-90211536"	"chr11:90206272-90210536"	"chr11:90210036-90211036"	"ENSG00000110172.12"	39.80514228	14.8551677	0
