Patient	Gene	ENSG.ID	logFC	logCPM	F	PValue	FDR
P1	SYNPO2	ENSG00000172403.11	-2.77515796	7.744687845	510.8824701	4.88E-17	2.09E-14
P1	EFNB2	ENSG00000125266.8	-1.944466936	4.620652571	507.2218933	5.28E-17	2.22E-14
P1	PIEZO2	ENSG00000154864.14	-2.41298914	5.158370959	493.5446223	7.10E-17	2.93E-14
P1	MRVI1	ENSG00000072952.20	-3.230095419	4.803895152	491.459186	7.43E-17	3.01E-14
P1	AL033504.1	ENSG00000227681.5	-4.772995909	2.294079128	488.1653481	8.00E-17	3.18E-14
P1	LAMA5	ENSG00000130702.15	-2.61601362	3.364078044	483.0359374	8.97E-17	3.50E-14
P1	TMTC1	ENSG00000133687.16	3.529375314	5.101402833	243.5733321	1.31E-13	1.47E-11
P1		ENSG00000288075.1	-1.963048225	3.184924513	480.2085742	9.56E-17	3.60E-14
P1		ENSG00000286251.2	3.506209093	6.034164689	536.5277692	2.87E-17	1.36E-14
P1	TBX5-AS1	ENSG00000255399.5	3.396405967	2.819929783	740.4457225	8.43E-19	9.69E-16
P1	AC023794.1	ENSG00000248265.2	-2.179746276	2.020690681	465.4586839	1.34E-16	4.80E-14
P1	FOXF2	ENSG00000137273.6	-2.162693823	3.312866657	458.0652829	1.59E-16	5.62E-14
P1	AC097480.1	ENSG00000250064.1	3.271790689	2.24732593	175.1639275	3.84E-12	2.72E-10
P1	PCDH19	ENSG00000165194.15	-3.093031405	3.258276843	450.1816399	1.92E-16	6.56E-14
P1	KRTAP1-5	ENSG00000221852.5	-3.471212644	3.185392157	447.5628156	2.05E-16	6.88E-14
P1	OSBPL10	ENSG00000144645.15	-1.877573367	4.270628024	446.0814787	2.12E-16	7.03E-14
P1	CNKSR2	ENSG00000149970.16	3.226061301	4.46525769	406.6528455	5.75E-16	1.48E-13
P1	GRIN2A	ENSG00000183454.18	3.156010843	3.147956978	100.9132294	8.22E-10	2.86E-08
P1	TSHZ1	ENSG00000179981.11	-1.858166377	6.471647391	435.9044304	2.72E-16	8.51E-14
P1	CLEC14A	ENSG00000176435.7	-2.438837814	3.801672357	435.2899113	2.76E-16	8.51E-14
P1	PGD	ENSG00000142657.21	-1.271789258	6.691923134	435.2658562	2.77E-16	8.51E-14
P1	FAM43A	ENSG00000185112.6	-2.353421037	3.955858758	433.5937388	2.88E-16	8.75E-14
P1	SFRP4	ENSG00000106483.12	-5.297709245	1.02233905	429.538942	3.19E-16	9.55E-14
P1	FGF10	ENSG00000070193.5	2.935941922	2.183751791	26.44513308	3.43E-05	0.000279719
P1	TNFRSF10A	ENSG00000104689.10	2.928358962	2.042170847	427.987826	3.32E-16	9.80E-14
P1	AGMO	ENSG00000187546.14	-5.172254488	1.594563482	425.8643333	3.50E-16	1.01E-13
P1	IRS1	ENSG00000169047.6	-1.301984277	7.286855521	423.0836927	3.76E-16	1.07E-13
P1	GFRA1	ENSG00000151892.16	2.892237371	5.859736878	1056.590011	1.66E-20	5.17E-17
P1	F10	ENSG00000126218.12	-2.211291871	2.893195364	416.7736143	4.41E-16	1.22E-13
P1	ERVMER61-1	ENSG00000230426.5	-3.143929373	3.736988621	415.7719329	4.53E-16	1.24E-13
P1	NPTX2	ENSG00000106236.4	-3.38804311	1.967793996	414.1180237	4.73E-16	1.28E-13
P1	AC124947.1	ENSG00000257252.6	-3.856255399	1.321223018	407.2740967	5.66E-16	1.48E-13
P1	CRIP2	ENSG00000182809.11	-2.099013377	5.507815728	407.2390329	5.66E-16	1.48E-13
P1	ROR2	ENSG00000169071.15	2.743740775	5.161919129	389.0720123	9.25E-16	2.04E-13
P1	FNDC1	ENSG00000164694.17	2.735146939	4.956426781	83.75637277	4.54E-09	1.28E-07
P1	DANT2	ENSG00000235244.5	2.720743226	3.914940766	466.37767	1.31E-16	4.78E-14
P1	CDH4	ENSG00000179242.16	2.705561022	5.500160465	540.1485099	2.66E-17	1.36E-14
P1	RAB36	ENSG00000100228.14	-1.897127058	2.898982082	401.6530012	6.57E-16	1.63E-13
P1	RSPO4	ENSG00000101282.9	-4.316087514	2.858639224	400.32134	6.81E-16	1.67E-13
P1	AJAP1	ENSG00000196581.11	4.675519356	0.841017499	397.931507	7.26E-16	1.76E-13
P1	SSC5D	ENSG00000179954.16	-2.231534533	5.860099912	397.1948629	7.41E-16	1.78E-13
P1	KLF8	ENSG00000102349.18	-2.44021931	2.245654423	394.7689534	7.91E-16	1.88E-13
P1	FO681492.1	ENSG00000277758.6	2.687898853	1.916857503	286.1026224	2.43E-14	3.40E-12
P1	ANO3	ENSG00000134343.14	-2.580140803	5.060731321	391.8502928	8.57E-16	1.99E-13
P1	HTR1F	ENSG00000179097.7	2.663213916	4.376545405	469.8659838	1.21E-16	4.48E-14
P1	GSTM5	ENSG00000134201.12	-3.272423945	2.36564644	391.1663084	8.73E-16	1.99E-13
P1	PRSS12	ENSG00000164099.3	-1.376352762	5.105422025	390.3859761	8.92E-16	2.01E-13
P1	MFGE8	ENSG00000140545.15	-1.854068229	8.395283951	389.5674018	9.12E-16	2.03E-13
P1	ST6GALNAC3	ENSG00000184005.11	2.65636149	2.6345781	372.403807	1.48E-15	3.02E-13
P1	HOXC11	ENSG00000123388.4	-8.678057392	2.085794224	424.197282	1.04E-15	2.27E-13
P1	MAFB	ENSG00000204103.4	2.643804845	4.68337048	285.0465273	2.53E-14	3.52E-12
P1	C16orf45	ENSG00000166780.11	-1.659188602	6.470652266	379.5140367	1.21E-15	2.59E-13
P1	ITGA8	ENSG00000077943.8	-2.908526126	4.786779538	377.6336175	1.27E-15	2.70E-13
P1	TMC6	ENSG00000141524.17	-3.581004032	0.319843584	377.0269981	1.30E-15	2.72E-13
P1	SHISAL1	ENSG00000138944.8	-1.805200683	4.489900627	375.7149141	1.34E-15	2.80E-13
P1	ARL17B	ENSG00000228696.10	-1.971414353	3.06759022	373.4987133	1.43E-15	2.95E-13
P1	AC068992.1	ENSG00000253496.3	2.562253934	3.264309304	200.6223652	9.68E-13	8.33E-11
P1	ABI3BP	ENSG00000154175.18	2.423472365	6.258354845	356.3486054	2.37E-15	4.50E-13
P1	LY6K	ENSG00000160886.13	-3.19631664	0.956183956	369.9157818	1.59E-15	3.18E-13
P1	GALNT18	ENSG00000110328.6	-2.456455563	2.176076588	368.5142144	1.65E-15	3.29E-13
P1	ENPP4	ENSG00000001561.7	2.417899873	2.978895046	157.3428111	1.13E-11	6.79E-10
P1	AC109466.1	ENSG00000241956.11	2.409184437	1.818857977	125.8733452	1.01E-10	4.48E-09
P1	PODXL	ENSG00000128567.17	2.401573369	8.510543957	512.9198436	4.67E-17	2.04E-14
P1	MYRIP	ENSG00000170011.14	-3.819474847	2.46571593	358.4626366	2.22E-15	4.26E-13
P1	LINC01592	ENSG00000253658.6	2.364244268	4.636610192	296.9514227	1.64E-14	2.37E-12
P1	AC092167.1	ENSG00000226965.2	-3.759377188	4.928240834	354.7961559	2.48E-15	4.67E-13
P1	CNGA3	ENSG00000144191.12	3.777133308	1.382216393	353.8504723	2.55E-15	4.74E-13
P1	RELN	ENSG00000189056.15	2.354606083	2.835670448	193.9505963	1.37E-12	1.12E-10
P1	NDRG4	ENSG00000103034.15	-2.031880794	2.804718987	353.3687758	2.59E-15	4.76E-13
P1	EMCN	ENSG00000164035.10	2.339704054	1.679126513	147.5896543	2.12E-11	1.16E-09
P1	MYO15B	ENSG00000266714.10	-2.3870889	1.913406838	351.1711919	2.77E-15	5.00E-13
P1	TFAP2A	ENSG00000137203.15	-2.451813199	2.313071818	347.3457948	3.11E-15	5.57E-13
P1		ENSG00000287763.1	-2.395185571	2.858795227	345.0072712	3.34E-15	5.94E-13
P1	PLXDC2	ENSG00000120594.17	2.327693744	6.533836827	165.6342621	6.74E-12	4.27E-10
P1	WNT7B	ENSG00000188064.10	-3.067991675	1.926944289	339.6538469	3.95E-15	6.90E-13
P1	ZNF185	ENSG00000147394.19	-1.853451711	3.594294505	337.4855312	4.23E-15	7.33E-13
P1	TOX2	ENSG00000124191.18	-1.418561285	5.380120529	336.1560403	4.41E-15	7.59E-13
P1	DUXAP8	ENSG00000206195.11	-5.113994742	1.596486059	335.6692636	4.48E-15	7.64E-13
P1	LIMCH1	ENSG00000064042.18	2.306761259	5.227882803	188.8580263	1.79E-12	1.40E-10
P1	KCNK15	ENSG00000124249.7	2.275555776	2.912106636	158.3199452	1.06E-11	6.42E-10
P1	ITIH5	ENSG00000123243.15	2.274373103	4.675106754	103.6645393	6.39E-10	2.31E-08
P1	ARHGDIB	ENSG00000111348.9	2.272559786	1.649547015	335.0712974	4.56E-15	7.67E-13
P1	MAP3K5	ENSG00000197442.10	-1.846411922	5.256979811	327.9384735	5.74E-15	9.42E-13
P1	PCSK9	ENSG00000169174.11	2.229499764	3.777823674	117.4261309	1.96E-10	8.08E-09
P1	ENPP5	ENSG00000112796.10	2.219397037	1.640684009	28.1467569	2.30E-05	0.000198749
P1	AC138305.1	ENSG00000260658.7	-4.008759852	1.725554809	314.0162532	9.09E-15	1.46E-12
P1	AQP1	ENSG00000240583.14	-3.804956337	2.954912151	313.7845083	9.16E-15	1.46E-12
P1	TNFRSF19	ENSG00000127863.16	-1.334639259	7.072367594	313.6468629	9.20E-15	1.46E-12
P1	AC096711.2	ENSG00000251555.1	-2.879950199	3.392407864	310.3562156	1.03E-14	1.62E-12
P1	EDARADD	ENSG00000186197.15	-2.54165524	2.190143648	310.1785107	1.04E-14	1.62E-12
P1	LAPTM5	ENSG00000162511.8	-5.772785236	0.084878216	309.7738707	1.05E-14	1.63E-12
P1	HAPLN3	ENSG00000140511.12	-2.172226407	4.004771345	308.4247299	1.10E-14	1.69E-12
P1	LINC00370	ENSG00000223617.2	2.212698801	1.802575654	82.64787165	5.12E-09	1.42E-07
P1	POSTN	ENSG00000133110.15	2.20656229	9.187339209	132.8433808	5.96E-11	2.88E-09
P1		ENSG00000287281.1	-3.673303924	0.374379187	305.063327	1.23E-14	1.86E-12
P1	NES	ENSG00000132688.11	-1.577154122	5.717929766	302.220906	1.36E-14	2.04E-12
P1	PLEK2	ENSG00000100558.9	2.184003356	1.832920087	210.4408517	5.93E-13	5.50E-11
P1	COMP	ENSG00000105664.11	-4.153454894	6.67679522	299.5186112	1.50E-14	2.21E-12
P1	C5orf66	ENSG00000224186.8	-1.792978523	2.667871642	299.366108	1.51E-14	2.21E-12
P1	ADA2	ENSG00000093072.18	-2.705898267	1.671248679	298.0823847	1.58E-14	2.30E-12
P1	ARHGAP28	ENSG00000088756.13	2.183218666	5.096088541	280.6846664	2.97E-14	4.06E-12
P1	PNPLA3	ENSG00000100344.11	-1.202111335	4.721950377	296.3163901	1.68E-14	2.41E-12
P1	CASC15	ENSG00000272168.9	-2.630919353	5.338651891	293.3008325	1.87E-14	2.67E-12
P1	TTC12	ENSG00000149292.17	2.180070977	2.650700643	380.7041922	1.17E-15	2.53E-13
P1	PIR	ENSG00000087842.11	-2.039693223	2.57646637	291.7775976	1.98E-14	2.79E-12
P1	GAD1	ENSG00000128683.14	2.17145523	1.705769246	225.2397518	2.95E-13	2.94E-11
P1	EML5	ENSG00000165521.16	2.145579027	2.866605576	153.2398942	1.46E-11	8.54E-10
P1	GPC4	ENSG00000076716.9	2.144981088	4.231439582	152.2740436	1.56E-11	8.94E-10
P1	LYN	ENSG00000254087.8	-1.288083792	3.647204904	282.4151481	2.78E-14	3.83E-12
P1	KIT	ENSG00000157404.17	2.128153022	6.151140602	167.3197349	6.09E-12	3.91E-10
P1	DTX4	ENSG00000110042.8	-2.261796214	1.705989875	278.3777562	3.24E-14	4.40E-12
P1	HAND2-AS1	ENSG00000237125.12	-2.295153591	1.971623569	275.6846864	3.59E-14	4.84E-12
P1	TEK	ENSG00000120156.22	-1.472434047	3.417929508	274.9916514	3.68E-14	4.94E-12
P1	PHKA1	ENSG00000067177.15	-1.651450412	3.524596629	274.4228652	3.76E-14	5.02E-12
P1	DNER	ENSG00000187957.8	2.830419027	0.751503833	273.8122272	3.85E-14	5.09E-12
P1	AP005018.2	ENSG00000254851.1	-2.498489437	1.023048691	273.7235889	3.87E-14	5.09E-12
P1	RARB	ENSG00000077092.20	-1.837283992	5.145000271	273.1480928	3.95E-14	5.14E-12
P1		ENSG00000289143.1	-3.793197844	0.198597162	273.1464468	3.95E-14	5.14E-12
P1	COL24A1	ENSG00000171502.15	-1.693126157	4.579272772	272.8879705	3.99E-14	5.16E-12
P1	CRACR2A	ENSG00000130038.10	-0.915780923	4.982242491	271.4397724	4.22E-14	5.43E-12
P1	BCAM	ENSG00000187244.12	-2.58129116	2.016006114	270.3710952	4.40E-14	5.62E-12
P1	AL589743.1	ENSG00000244306.11	-4.282992825	2.256585298	267.4669157	4.93E-14	6.26E-12
P1	MCF2L	ENSG00000126217.21	-3.997325022	1.183909703	266.7734337	5.06E-14	6.40E-12
P1	RPL13P12	ENSG00000215030.5	-2.827707139	2.886335875	264.2295165	5.60E-14	7.03E-12
P1	PARP8	ENSG00000151883.19	-1.914321993	5.75791695	263.2440687	5.82E-14	7.27E-12
P1	ADRA2A	ENSG00000150594.7	2.082237823	4.728907282	232.3133538	2.14E-13	2.21E-11
P1	NDST3	ENSG00000164100.9	-2.703753428	2.357409103	261.9414524	6.13E-14	7.57E-12
P1	MSR1	ENSG00000038945.15	2.079590001	3.894200212	115.3651932	2.32E-10	9.41E-09
P1	AC103810.1	ENSG00000264057.1	-3.264825277	0.141698375	259.9173677	6.65E-14	8.12E-12
P1		ENSG00000287352.1	6.019912018	-0.48352383	259.1475551	6.86E-14	8.33E-12
P1	ADRA1D	ENSG00000171873.8	-2.05938831	2.585708607	257.8591328	7.23E-14	8.73E-12
P1	IFI6	ENSG00000126709.16	-2.121485927	3.524315484	256.7219961	7.57E-14	9.09E-12
P1	FMOD	ENSG00000122176.12	2.073743389	4.409512915	244.6303854	1.25E-13	1.42E-11
P1	CARD9	ENSG00000187796.15	-2.224848256	2.121638473	254.4930496	8.29E-14	9.85E-12
P1	FLT1	ENSG00000102755.12	-1.314463086	3.025162274	253.3002934	8.71E-14	1.03E-11
P1		ENSG00000286134.2	4.26178139	1.085215388	251.8832222	9.23E-14	1.08E-11
P1	TNFAIP2	ENSG00000185215.11	-1.33551054	4.474577673	250.4520847	9.80E-14	1.14E-11
P1	PTPRC	ENSG00000081237.20	2.065675461	3.476748527	72.98502465	1.54E-08	3.69E-07
P1	PRKCD	ENSG00000163932.15	-1.095447367	4.233561465	249.1707655	1.03E-13	1.19E-11
P1	P2RY1	ENSG00000169860.7	2.053427203	1.55768559	54.92550957	1.71E-07	3.01E-06
P1	IRF6	ENSG00000117595.12	5.490729722	1.443877505	246.2356425	1.17E-13	1.34E-11
P1	AC134312.5	ENSG00000261327.5	-1.955809516	2.275530434	245.1753848	1.22E-13	1.39E-11
P1	CPE	ENSG00000109472.14	2.036228525	5.480747129	405.6439269	5.91E-16	1.50E-13
P1	SYBU	ENSG00000147642.17	2.020173144	4.586617698	333.8392046	4.74E-15	7.92E-13
P1	PLPP4	ENSG00000203805.11	1.997304604	5.32894886	142.4887123	3.00E-11	1.57E-09
P1	AC243562.2	ENSG00000259683.1	-1.621538742	2.294863587	243.1733203	1.33E-13	1.48E-11
P1	CELF2	ENSG00000048740.19	1.992275106	6.564064047	185.8593521	2.11E-12	1.60E-10
P1	RGCC	ENSG00000102760.13	-3.82492022	2.981363472	241.9056426	1.41E-13	1.55E-11
P1	HOXC-AS3	ENSG00000251151.2	-11.13369704	-0.243422836	315.5094447	1.44E-13	1.58E-11
P1	TM4SF1	ENSG00000169908.12	1.970691231	3.056918599	393.4774241	8.19E-16	1.93E-13
P1	AC083899.1	ENSG00000204745.4	1.963505961	2.150882619	199.3885965	1.03E-12	8.80E-11
P1	B3GALT5	ENSG00000183778.19	-2.558335629	1.215869133	237.1125866	1.73E-13	1.87E-11
P1	AC005829.2	ENSG00000262539.1	-10.96526994	-0.148064357	279.5082164	1.78E-13	1.92E-11
P1	FGD6	ENSG00000180263.14	-1.12784893	4.793711881	235.9201421	1.82E-13	1.95E-11
P1	GPRC5A	ENSG00000013588.9	-2.267229314	3.378292516	235.8499178	1.83E-13	1.95E-11
P1	C3orf80	ENSG00000180044.6	-4.084380197	-0.414031781	234.612038	1.93E-13	2.05E-11
P1	B4GALT6	ENSG00000118276.12	1.961078727	3.862700047	537.1611927	2.83E-17	1.36E-14
P1	RPL7AP28	ENSG00000184139.8	-3.596455048	-0.664469836	253.4307458	1.97E-13	2.07E-11
P1	UHRF1BP1	ENSG00000065060.18	-0.918582566	5.730719944	233.2626898	2.05E-13	2.14E-11
P1	AC037486.1	ENSG00000254303.1	1.950550123	2.846917935	127.0349886	9.20E-11	4.15E-09
P1	IL18R1	ENSG00000115604.12	2.945238669	1.269864667	232.4091871	2.13E-13	2.21E-11
P1	GALNT12	ENSG00000119514.7	1.94867331	2.531107351	113.6926594	2.67E-10	1.06E-08
P1	LINC01638	ENSG00000233521.8	1.941294366	2.150168159	83.90912643	4.47E-09	1.26E-07
P1	COL8A2	ENSG00000171812.13	-2.110277097	5.756236503	231.0176458	2.27E-13	2.32E-11
P1	PLPP7	ENSG00000160539.6	-1.525693601	2.705083718	230.4741903	2.32E-13	2.36E-11
P1	PITX2	ENSG00000164093.18	-1.161813288	4.164651823	229.2924182	2.45E-13	2.48E-11
P1	PPFIA2	ENSG00000139220.17	-3.687398153	1.56012976	228.3026229	2.56E-13	2.58E-11
P1	SEMA3B	ENSG00000012171.20	-1.484615849	3.665613976	226.4449291	2.79E-13	2.80E-11
P1	DIO2	ENSG00000211448.14	1.939394894	3.087175942	57.09836545	1.24E-07	2.27E-06
P1	FAM157C	ENSG00000260528.6	5.410340205	0.102304005	223.6195386	3.17E-13	3.15E-11
P1	BMS1P10	ENSG00000237238.3	1.937336873	2.216119244	156.3006941	1.20E-11	7.20E-10
P1	MFAP5	ENSG00000197614.11	-1.034904623	7.933273011	222.8828497	3.28E-13	3.23E-11
P1	CHD7	ENSG00000171316.12	1.936682883	4.078135651	300.8618	1.43E-14	2.12E-12
P1	AL022068.1	ENSG00000228412.9	1.935257785	2.072991371	194.2488146	1.35E-12	1.11E-10
P1	IGSF5	ENSG00000183067.6	-3.368396169	-0.370392651	220.2320369	3.72E-13	3.61E-11
P1	PKDCC	ENSG00000162878.13	1.920636762	4.341551603	366.0865626	1.77E-15	3.49E-13
P1	LINC01151	ENSG00000253819.2	4.156745261	1.023570221	219.8032592	3.79E-13	3.65E-11
P1	SMN2	ENSG00000205571.14	-2.584262108	1.980308604	217.6755915	4.19E-13	4.02E-11
P1	CDH10	ENSG00000040731.10	1.906421617	2.763772546	136.4484836	4.59E-11	2.26E-09
P1	JUP	ENSG00000173801.17	-2.032548556	3.723331747	215.1570809	4.72E-13	4.49E-11
P1	SLC12A7	ENSG00000113504.21	-1.295305355	3.709536338	214.4114705	4.90E-13	4.63E-11
P1	FRG1JP	ENSG00000215548.2	-2.08085252	1.280152708	213.1495824	5.20E-13	4.90E-11
P1	RPL23AP49	ENSG00000243422.3	-1.697675818	3.745612992	212.5181381	5.36E-13	5.03E-11
P1	FREM1	ENSG00000164946.20	-2.038918562	4.233202859	211.7552144	5.57E-13	5.20E-11
P1	KCNA7	ENSG00000104848.2	1.895326933	1.792173372	146.1022422	2.35E-11	1.25E-09
P1	TLR3	ENSG00000164342.13	1.890872385	2.506744169	138.052228	4.10E-11	2.05E-09
P1	DUSP10	ENSG00000143507.18	-1.210380697	5.686593055	210.2958043	5.98E-13	5.51E-11
P1	AL442647.1	ENSG00000225689.2	-1.906143703	4.489867572	209.9853896	6.07E-13	5.57E-11
P1	GALNT13	ENSG00000144278.15	-2.465246956	1.578132656	209.9240845	6.09E-13	5.57E-11
P1	GSTM4	ENSG00000168765.18	-1.778477397	3.593680523	208.8142111	6.43E-13	5.85E-11
P1	SIPA1L2	ENSG00000116991.12	-1.261945509	6.168143217	207.2836777	6.93E-13	6.28E-11
P1	GDF6	ENSG00000156466.11	1.888042695	2.833010572	34.56359478	5.76E-06	6.18E-05
P1	MOXD1	ENSG00000079931.15	-1.44162559	6.971785166	206.0462467	7.37E-13	6.63E-11
P1	AC087521.2	ENSG00000246250.3	-1.112918884	4.944311953	205.886226	7.43E-13	6.65E-11
P1	SYNDIG1	ENSG00000101463.6	1.885905293	4.509635193	190.5321293	1.64E-12	1.29E-10
P1	PPP2R2C	ENSG00000074211.14	2.055447648	0.438339778	205.3776493	7.62E-13	6.77E-11
P1	PCSK1N	ENSG00000102109.9	-4.101844098	-0.319324817	205.2489085	7.67E-13	6.78E-11
P1	HSPA2	ENSG00000126803.10	-2.057490829	4.54873284	202.6088597	8.75E-13	7.71E-11
P1	PGM5	ENSG00000154330.13	-2.36427998	0.923417768	201.5401685	9.24E-13	8.11E-11
P1	LINC01615	ENSG00000223485.5	-2.009253776	2.793628508	201.4638344	9.28E-13	8.11E-11
P1	HTR7	ENSG00000148680.16	2.026240936	0.875103238	201.1484001	9.43E-13	8.21E-11
P1	PCDH7	ENSG00000169851.15	-2.071788693	4.342556069	200.8097528	9.59E-13	8.32E-11
P1	KIAA1522	ENSG00000162522.11	-1.060299085	5.540169852	200.7214075	9.63E-13	8.32E-11
P1	DOK5	ENSG00000101134.12	1.880700453	5.187414505	579.6364588	1.23E-17	8.58E-15
P1	AGTR1	ENSG00000144891.19	-1.118188324	4.477026897	200.2712363	9.86E-13	8.45E-11
P1	IRX2	ENSG00000170561.13	1.874919047	4.701223398	481.8112952	9.22E-17	3.53E-14
P1	AC009264.1	ENSG00000234352.9	-3.607471464	0.416089982	198.6875238	1.07E-12	9.09E-11
P1	DACT1	ENSG00000165617.15	1.871265054	4.48346332	58.77491237	9.78E-08	1.85E-06
P1	SLIT3	ENSG00000184347.15	-1.033900842	10.5316839	196.152945	1.22E-12	1.03E-10
P1	FGFR2	ENSG00000066468.24	1.868988277	3.975493523	139.9804984	3.57E-11	1.81E-09
P1	CXCL1	ENSG00000163739.5	1.86355876	2.730269608	93.06907982	1.74E-09	5.57E-08
P1	ANO4	ENSG00000151572.18	1.836370934	3.982986883	106.5963526	4.92E-10	1.81E-08
P1	RASD2	ENSG00000100302.7	1.835097818	3.483446777	196.4132027	1.20E-12	1.02E-10
P1	LINC01443	ENSG00000266554.2	-3.768300317	1.278033922	195.413871	1.27E-12	1.05E-10
P1	SGCA	ENSG00000108823.17	-2.264932949	0.499213633	194.279476	1.34E-12	1.11E-10
