"clusterID"	"N"	"coord"	"gene.x"	"annotation"	"FDR"	"gene.y"	"ensemblID"	"chr"	"start"	"end"	"verdict"	"deltapsi"	"transcripts"	"Sample"
"51"	"clu_4123_+"	2	"chr3:47810711-47818022"	"<i>DHX30</i>"	"annotated"	0.027	"DHX30"	"ENSG00000226752.10"	"chr3"	47810711	47815963	"annotated"	0.355	"ENST00000348968.8+ENST00000472718.5"	"K562"
"52"	"clu_4117_+"	3	"chr3:45673505-45674343"	"<i>LIMD1</i>"	"cryptic"	0.000142	"LIMD1"	"ENSG00000156467.10"	"chr3"	45674195	45674343	"cryptic_fiveprime"	0.354	"."	"K562"
"53"	"clu_4874_+"	2	"chr6:31968538-31968686"	"<i>SKIV2L</i>"	"annotated"	0.0118	"SKIV2L"	"ENSG00000198242.14"	"chr6"	31968538	31968623	"annotated"	0.352	"ENST00000465703.5+ENST00000483553.5"	"K562"
"54"	"clu_5219_+"	2	"chr7:120955624-120964742"	"<i>ING3</i>"	"annotated"	0.00844	"ING3"	"ENSG00000163719.20"	"chr7"	120955624	120956160	"annotated"	0.351	"ENST00000339121.9"	"K562"
"55"	"clu_4788_-"	2	"chr6:107245619-107274029"	"<i>PDSS2</i>"	"annotated"	0.043	"PDSS2"	"ENSG00000184500.16"	"chr6"	107264512	107274029	"annotated"	0.344	"ENST00000369031.4"	"K562"
"56"	"clu_2338_-"	2	"chr17:38809765-38810468"	"<i>CWC25</i>"	"annotated"	0.0121	"CWC25"	"ENSG00000172889.16"	"chr17"	38809765	38810276	"annotated"	0.34	"ENST00000618122.4+ENST00000619462.4+ENST00000619818.4"	"K562"
"57"	"clu_2406_-"	2	"chr17:59001714-59012328"	"<i>TRIM37</i>"	"annotated"	0.0131	"TRIM37"	"ENSG00000176915.15"	"chr17"	59001741	59012328	"annotated"	0.34	"ENST00000585287.5"	"K562"
"58"	"clu_53_-"	2	"chr1:3839776-3844907"	"<i>CEP104</i>"	"cryptic"	0.00662	"CEP104"	"ENSG00000105968.19"	"chr1"	3842067	3844907	"cryptic_threeprime"	0.335	"."	"K562"
"59"	"clu_2505_+"	2	"chr17:27306882-27309100"	"<i>WSB1</i>"	"annotated"	0.00243	"WSB1"	"ENSG00000133265.11"	"chr17"	27306882	27307744	"annotated"	0.333	"ENST00000427287.6+ENST00000467843.6+ENST00000487603.5+ENST00000579733.5+ENST00000583193.5"	"K562"
"60"	"clu_2006_-"	2	"chr16:5090565-5093484"	"<i>EEF2KMT</i>"	"annotated"	0.0458	"EEF2KMT"	"ENSG00000198964.14"	"chr16"	5090565	5093484	"annotated"	0.332	"ENST00000427587.9+ENST00000458008.8+ENST00000585975.5+ENST00000586444.1"	"K562"
"61"	"clu_2496_+"	3	"chr17:16381115-16382094"	"<i>.</i>"	"annotated"	0.022	"."	"ENSG00000126088.14"	"chr17"	16381115	16382055	"unknown_strand"	0.331	NA	"K562"
"62"	"clu_2162_+"	4	"chr16:10387494-10428868"	"<i>ATF7IP2</i>"	"cryptic"	0.0438	"ATF7IP2"	"ENSG00000100288.20"	"chr16"	10387494	10428868	"annotated"	0.329	"ENST00000562527.5+ENST00000569939.5"	"K562"
"63"	"clu_3182_-"	2	"chr2:95807302-95814050"	"<i>LINC00342</i>"	"annotated"	0.0453	"LINC00342"	"ENSG00000104756.16"	"chr2"	95813957	95814050	"annotated"	0.322	"ENST00000412393.5+ENST00000659287.1+ENST00000660641.1+ENST00000662121.1+ENST00000668171.1"	"K562"
"64"	"clu_4318_-"	2	"chr4:73177533-73258276"	"<i>ANKRD17</i>"	"annotated"	0.0246	"ANKRD17"	"ENSG00000144199.12"	"chr4"	73177533	73222974	"annotated"	0.322	"ENST00000509867.6+ENST00000559367.1"	"K562"
"65"	"clu_5641_+"	2	"chr9:120845196-120847294"	"<i>CUTALP</i>"	"annotated"	0.0279	"CUTALP"	"ENSG00000155100.11"	"chr9"	120846803	120847294	"annotated"	0.321	"ENST00000638905.1+ENST00000639075.1"	"K562"
"66"	"clu_1628_-"	3	"chr13:110642521-110644385"	"<i>CARS2</i>"	"annotated"	0.00989	"CARS2"	"ENSG00000013306.16"	"chr13"	110642521	110644385	"annotated"	0.32	"ENST00000257347.9+ENST00000480437.5+ENST00000481787.6+ENST00000487253.6+ENST00000535516.5+ENST00000535615.5+ENST00000537802.5+ENST00000540006.5+ENST00000542774.5"	"K562"
"67"	"clu_1888_-"	2	"chr15:50300902-50301257"	"<i>GABPB1</i>"	"annotated"	0.0116	"GABPB1"	"ENSG00000198836.11"	"chr15"	50300902	50301257	"annotated"	0.319	"ENST00000359031.8+ENST00000380877.8+ENST00000396464.7+ENST00000560825.5"	"K562"
"68"	"clu_4019_-"	2	"chr3:149041668-149042166"	"<i>HLTF</i>"	"annotated"	0.0105	"HLTF"	"ENSG00000122566.22"	"chr3"	149041680	149042166	"annotated"	0.318	"ENST00000467858.1"	"K562"
"69"	"clu_4194_+"	2	"chr3:195683865-195688533"	"<i>MUC20-OT1</i>"	"annotated"	0.0235	"MUC20-OT1"	"ENSG00000117362.13"	"chr3"	195683865	195685818	"annotated"	0.318	"ENST00000455183.1+ENST00000414625.6+ENST00000601648.5+ENST00000602127.5+ENST00000608699.3+ENST00000625358.2+ENST00000625632.2+ENST00000626706.1+ENST00000627502.2+ENST00000627767.1"	"K562"
"70"	"clu_3694_-"	2	"chr21:32751218-32755230"	"<i>PAXBP1</i>"	"annotated"	0.0103	"PAXBP1"	"ENSG00000065911.13"	"chr21"	32751218	32755213	"annotated"	0.312	"ENST00000421049.1+ENST00000443785.5+ENST00000466846.5"	"K562"
"71"	"clu_847_+"	2	"chr10:91222983-91240484"	"<i>PCGF5</i>"	"annotated"	0.0141	"PCGF5"	"ENSG00000243716.11"	"chr10"	91222983	91240484	"annotated"	0.311	"ENST00000336126.6+ENST00000543648.5+ENST00000614189.4"	"K562"
"72"	"clu_4201_+"	4	"chr3:198214967-198218475"	"<i>FAM157A</i>"	"cryptic"	0.0275	"FAM157A"	"ENSG00000165637.14"	"chr3"	198214967	198218475	"cryptic_fiveprime"	0.31	"."	"K562"
"73"	"clu_590_+"	2	"chr1:108696337-108698604"	"<i>PRPF38B</i>"	"cryptic"	0.0143	"PRPF38B"	"ENSG00000147162.14"	"chr1"	108698017	108698604	"cryptic_fiveprime"	0.31	"."	"K562"
"74"	"clu_2172_+"	2	"chr16:16316262-16316724"	"<i>PKD1P1</i>"	"cryptic"	0.00983	"PKD1P1"	"ENSG00000143569.19"	"chr16"	16316455	16316724	"annotated"	0.306	"ENST00000458669.1"	"K562"
"75"	"clu_4115_+"	2	"chr3:44338319-44354739"	"<i>TCAIM</i>"	"annotated"	0.0124	"TCAIM"	"ENSG00000161970.15"	"chr3"	44338834	44354739	"annotated"	0.305	"ENST00000342649.9+ENST00000396078.7+ENST00000412611.6+ENST00000417768.1+ENST00000431657.5+ENST00000444602.2+ENST00000462230.5"	"K562"
"76"	"clu_1114_+"	2	"chr11:126273079-126273336"	"<i>FOXRED1</i>"	"annotated"	0.0159	"FOXRED1"	"ENSG00000180229.12"	"chr11"	126273079	126273316	"annotated"	0.304	"ENST00000524751.5+ENST00000532101.6+ENST00000534011.6+ENST00000686242.1+ENST00000686888.1"	"K562"
"77"	"clu_5498_-"	2	"chr9:35813145-35813266"	"<i>HINT2</i>"	"cryptic"	0.00243	"HINT2"	"ENSG00000100075.10"	"chr9"	35813156	35813266	"cryptic_threeprime"	0.303	"."	"K562"
"78"	"clu_5025_-"	2	"chr7:64993414-65006541"	"<i>ERV3-1</i>"	"annotated"	0.0104	"ERV3-1"	"ENSG00000112972.15"	"chr7"	65006322	65006541	"annotated"	0.302	"ENST00000535538.1"	"K562"
"79"	"clu_4841_+"	2	"chr6:7595101-7601336"	"<i>SNRNP48</i>"	"annotated"	0.0453	"SNRNP48"	"ENSG00000184489.13"	"chr6"	7595101	7601336	"annotated"	0.301	"ENST00000342415.6+ENST00000634363.1"	"K562"
"80"	"clu_1146_-"	2	"chr11:6218150-6218600"	"<i>FHIP1B</i>"	"annotated"	0.0452	"FHIP1B"	"ENSG00000196776.17"	"chr11"	6218150	6218600	"annotated"	0.3	"ENST00000449352.7+ENST00000524416.1+ENST00000532797.1"	"K562"
"81"	"clu_1699_+"	2	"chr14:22768171-22769791"	"<i>OXA1L</i>"	"cryptic"	0.0022	"OXA1L"	"ENSG00000183889.12"	"chr14"	22768171	22769777	"cryptic_threeprime"	0.3	"."	"K562"
"82"	"clu_5704_+"	2	"chr9:137728529-137743392"	"<i>EHMT1</i>"	"annotated"	0.0351	"EHMT1"	"ENSG00000232053.7"	"chr9"	137728529	137743371	"annotated"	0.299	"ENST00000371394.6+ENST00000460843.6+ENST00000462484.5+ENST00000629335.2+ENST00000637161.1+ENST00000637977.1+ENST00000638071.1"	"K562"
"83"	"clu_1422_-"	2	"chr12:132741485-132743154"	"<i>ANKLE2</i>"	"annotated"	0.0136	"ANKLE2"	"ENSG00000164506.15"	"chr12"	132741485	132741809	"annotated"	0.298	"ENST00000535036.5"	"K562"
"84"	"clu_5585_-"	2	"chr9:133251152-133275162"	"<i>ABO</i>"	"annotated"	0.0432	"ABO"	"ENSG00000100084.14"	"chr9"	133251152	133275162	"annotated"	0.296	"ENST00000647353.1"	"K562"
"85"	"clu_197_-"	2	"chr1:58667921-58668632"	"<i>MYSM1</i>"	"annotated"	0.0266	"MYSM1"	"ENSG00000196756.14"	"chr1"	58667921	58668430	"annotated"	0.29	"ENST00000401044.7+ENST00000622766.1+ENST00000659108.1+ENST00000659812.1+ENST00000660611.1+ENST00000665648.1"	"K562"
"86"	"clu_2872_-"	3	"chr19:55265367-55265886"	"<i>HSPBP1</i>"	"cryptic"	0.00246	"HSPBP1"	"ENSG00000149547.15"	"chr19"	55265378	55265886	"cryptic_threeprime"	0.29	"."	"K562"
"87"	"clu_4616_+"	3	"chr5:140436257-140438503"	"<i>ANKHD1</i>"	"annotated"	0.00396	"ANKHD1"	"ENSG00000108064.11"	"chr5"	140436257	140438494	"annotated"	0.29	"ENST00000394722.7"	"K562"
"88"	"clu_3681_-"	3	"chr21:8400729-8444965"	"<i>.</i>"	"annotated"	0.00293	"."	"ENSG00000185596.16"	"chr21"	8400850	8444965	"unknown_strand"	0.289	NA	"K562"
"89"	"clu_2541_+"	2	"chr17:40819208-40833115"	"<i>KRT10-AS1</i>"	"annotated"	0.0158	"KRT10-AS1"	"ENSG00000145216.16"	"chr17"	40819208	40833115	"annotated"	0.288	"ENST00000301665.8+ENST00000666187.1+ENST00000668620.1"	"K562"
"90"	"clu_3288_+"	3	"chr2:27037702-27038146"	"<i>TMEM214</i>"	"annotated"	2.1e-05	"TMEM214"	"ENSG00000119777.20"	"chr2"	27037702	27037815	"annotated"	0.287	"ENST00000425720.5"	"K562"
"91"	"clu_1773_+"	4	"chr15:22561789-22562949"	"<i>HERC2P2</i>"	"cryptic"	0.0105	"HERC2P2"	"ENSG00000122566.22"	"chr15"	22561789	22561896	"cryptic_threeprime"	0.285	"."	"K562"
"92"	"clu_207_-"	3	"chr1:67424959-67426163"	"<i>SERBP1</i>"	"cryptic"	0.00357	"SERBP1"	"ENSG00000254772.10"	"chr1"	67424977	67425083	"annotated"	0.285	"ENST00000361219.11+ENST00000370995.6+ENST00000484880.1"	"K562"
"93"	"clu_4173_+"	3	"chr3:172755374-172756983"	"<i>ECT2</i>"	"annotated"	0.0104	"ECT2"	"ENSG00000004487.18"	"chr3"	172755575	172756983	"annotated"	0.284	"ENST00000366090.6+ENST00000392692.8+ENST00000438041.5"	"K562"
"94"	"clu_291_-"	2	"chr1:154970199-154974248"	"<i>SHC1</i>"	"cryptic"	0.0448	"SHC1"	"ENSG00000118894.15"	"chr1"	154974045	154974248	"cryptic_threeprime"	0.277	"."	"K562"
"95"	"clu_2906_+"	2	"chr19:2351594-2352946"	"<i>SPPL2B</i>"	"annotated"	0.0323	"SPPL2B"	"ENSG00000198276.16"	"chr19"	2351594	2352946	"annotated"	0.274	"ENST00000613503.5"	"K562"
"96"	"clu_105_-"	2	"chr1:25242413-25242539"	"<i>RSRP1</i>"	"annotated"	0.0115	"RSRP1"	"ENSG00000274602.5"	"chr1"	25242426	25242539	"annotated"	0.273	"ENST00000565733.5+ENST00000569495.5"	"K562"
"97"	"clu_2565_+"	2	"chr17:44738424-44741401"	"<i>DBF4B</i>"	"cryptic"	0.0354	"DBF4B"	"ENSG00000172775.17"	"chr17"	44738424	44741336	"annotated"	0.273	"ENST00000315005.8+ENST00000393547.6+ENST00000526924.5+ENST00000527862.1"	"K562"
"98"	"clu_2642_-"	2	"chr18:224179-224924"	"<i>THOC1</i>"	"annotated"	0.00309	"THOC1"	"ENSG00000132780.17"	"chr18"	224200	224924	"annotated"	0.272	"ENST00000579891.5"	"K562"
"99"	"clu_5756_+"	2	"chrX:68716431-68717212"	"<i>STARD8</i>"	"cryptic"	0.018	"STARD8"	"ENSG00000147454.14"	"chrX"	68716431	68717200	"cryptic_threeprime"	0.272	"."	"K562"
"100"	"clu_4984_-"	2	"chr7:1816228-1898200"	"<i>MAD1L1</i>"	"cryptic"	0.022	"MAD1L1"	"ENSG00000221983.8"	"chr7"	1816228	1854756	"cryptic_fiveprime"	0.271	"."	"K562"
"101"	"clu_499_+"	3	"chr1:39105717-39231182"	"<i>MACF1</i>"	"annotated"	0.015	"MACF1"	"ENSG00000122406.14"	"chr1"	39159020	39231182	"annotated"	0.27	"ENST00000672812.1"	"K562"
"102"	"clu_2168_+"	3	"chr16:14950255-14951615"	"<i>NPIPA1</i>"	"annotated"	0.00407	"NPIPA1"	"ENSG00000176978.14"	"chr16"	14950255	14951615	"annotated"	0.266	"ENST00000328085.10+ENST00000472413.5+ENST00000541836.5"	"K562"
"103"	"clu_2447_-"	2	"chr17:81682149-81683013"	"<i>ARL16</i>"	"annotated"	0.0141	"ARL16"	"ENSG00000006125.18"	"chr17"	81682149	81683013	"annotated"	0.266	"ENST00000570561.5+ENST00000573569.5+ENST00000573715.2+ENST00000576135.5+ENST00000576914.1+ENST00000622299.5"	"K562"
"104"	"clu_2894_+"	2	"chr19:1275830-1277183"	"<i>FAM174C</i>"	"annotated"	0.0141	"FAM174C"	"ENSG00000243716.11"	"chr19"	1276103	1277183	"annotated"	0.264	"ENST00000469144.5"	"K562"
"105"	"clu_5266_-"	2	"chr8:23434478-23435392"	"<i>ENTPD4</i>"	"annotated"	0.0321	"ENTPD4"	"ENSG00000113387.12"	"chr8"	23434681	23435392	"annotated"	0.26	"ENST00000522913.1"	"K562"
"106"	"clu_2185_+"	2	"chr16:16392096-16393456"	"<i>NPIPA7</i>"	"annotated"	0.0346	"NPIPA7"	"ENSG00000168028.14"	"chr16"	16392096	16393456	"annotated"	0.259	"ENST00000344087.4+ENST00000530217.2"	"K562"
"107"	"clu_3515_+"	2	"chr20:38765518-38766257"	"<i>ACTR5</i>"	"cryptic"	0.0291	"ACTR5"	"ENSG00000185187.13"	"chr20"	38765518	38766257	"cryptic_threeprime"	0.258	"."	"K562"
"108"	"clu_4305_-"	3	"chr4:17804771-17810447"	"<i>DCAF16</i>"	"cryptic"	0.00509	"DCAF16"	"ENSG00000247828.9"	"chr4"	17804771	17810447	"novel annotated pair"	0.258	"ENST00000382247.6"	"K562"
"109"	"clu_4283_+"	2	"chr4:152863714-152872452"	"<i>ARFIP1</i>"	"annotated"	0.0361	"ARFIP1"	"ENSG00000070756.17"	"chr4"	152870848	152872452	"annotated"	0.257	"ENST00000353617.7+ENST00000451320.6+ENST00000511289.5+ENST00000513361.1"	"K562"
